ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_kg,Arrived_on_Time,Weight_Category
4339,D,Ship,4,4,233,4,low,M,3,5.8,1,Heavy
4340,F,Ship,3,2,216,3,low,F,10,4.1,0,Heavy
4341,A,Ship,5,3,222,3,low,F,6,4.7,1,Heavy
4342,B,Ship,5,3,260,2,low,M,10,5.6,0,Heavy
4343,C,Ship,5,1,239,2,low,M,5,5.8,1,Heavy
4344,F,Ship,4,4,204,2,medium,F,9,4.5,0,Heavy
4345,D,Ship,3,3,116,5,low,F,6,4.5,0,Heavy
4346,F,Ship,4,3,245,3,low,M,8,4.8,0,Heavy
4347,A,Ship,4,4,280,5,low,F,3,5,0,Heavy
4348,B,Ship,3,5,155,4,low,M,6,5.4,0,Heavy
4349,C,Ship,3,2,139,5,low,M,8,4.6,0,Heavy
4350,F,Ship,5,4,237,3,high,M,9,5.4,0,Heavy
4351,D,Ship,2,5,211,4,low,M,1,5.7,0,Heavy
4352,F,Ship,3,4,220,3,medium,F,5,5.1,0,Heavy
4353,A,Ship,5,1,134,2,low,M,8,5.6,0,Heavy
4354,B,Ship,3,2,208,2,low,F,7,4.6,1,Heavy
4355,C,Ship,5,3,198,4,medium,M,2,5.3,0,Heavy
4356,F,Ship,5,1,277,4,low,M,2,5.5,0,Heavy
4357,D,Ship,4,3,144,3,low,M,1,5.9,0,Heavy
4358,F,Road,5,1,201,3,low,M,4,5.2,1,Heavy
4359,A,Road,3,1,201,4,medium,F,9,5.7,1,Heavy
4360,B,Road,5,1,236,2,low,F,2,5,1,Heavy
4361,C,Road,4,5,142,2,low,M,2,5.2,1,Heavy
4362,F,Road,5,1,172,5,medium,F,1,4.7,0,Heavy
4363,D,Road,4,3,217,2,medium,F,2,5.4,0,Heavy
4364,F,Road,4,2,231,3,high,M,3,5.1,0,Heavy
4365,A,Road,3,1,200,2,low,F,5,4.9,0,Heavy
4366,B,Road,5,2,260,6,high,M,10,4.1,1,Heavy
4367,C,Road,2,5,216,3,medium,F,2,5.1,0,Heavy
4368,F,Road,5,1,215,2,low,M,3,4.7,0,Heavy
4369,D,Road,5,3,217,3,low,M,6,4.9,1,Heavy
4370,F,Road,3,5,244,3,low,M,3,4.7,1,Heavy
4371,A,Road,4,2,221,3,low,M,10,5.6,0,Heavy
4372,B,Road,4,1,207,2,medium,M,4,4.1,0,Heavy
4373,C,Road,3,3,190,3,medium,M,2,4.5,1,Heavy
4374,F,Road,3,5,199,4,low,M,7,4.5,0,Heavy
4375,D,Road,6,1,246,3,medium,M,7,4.7,1,Heavy
4376,F,Road,3,5,195,3,medium,F,10,5.6,0,Heavy
4377,A,Road,3,2,244,3,medium,M,10,4.6,1,Heavy
4378,B,Road,2,2,158,3,high,F,1,4.1,0,Heavy
4379,C,Road,4,2,254,4,low,F,4,5.1,1,Heavy
4380,F,Flight,3,1,236,2,medium,F,8,5.6,0,Heavy
4381,D,Flight,5,1,255,4,medium,M,9,4.9,1,Heavy
4382,F,Flight,3,1,224,2,low,M,9,4,1,Heavy
4383,A,Flight,2,2,204,4,high,M,5,5.4,0,Heavy
4384,B,Flight,3,3,150,2,medium,M,3,5.8,0,Heavy
4385,C,Flight,3,3,134,2,high,M,1,5.6,0,Heavy
4386,F,Flight,3,3,157,4,low,M,7,6,1,Heavy
4387,D,Flight,3,2,257,2,medium,F,1,4.1,1,Heavy
4388,F,Flight,5,2,165,3,medium,F,10,5.6,0,Heavy
4389,A,Flight,5,4,175,4,low,M,4,4.5,0,Heavy
4390,B,Flight,3,3,201,2,medium,F,8,5,1,Heavy
4391,C,Flight,3,3,175,2,medium,M,2,4.8,0,Heavy
4392,F,Flight,4,2,185,5,low,M,7,4.7,1,Heavy
4393,D,Flight,4,3,202,3,low,M,7,5.7,1,Heavy
4394,F,Flight,3,4,270,2,low,M,4,4.7,0,Heavy
4395,A,Flight,5,3,175,3,low,M,7,4.8,1,Heavy
4396,B,Flight,4,3,149,3,medium,F,3,4.8,1,Heavy
4397,C,Flight,3,1,223,3,medium,F,4,4.5,1,Heavy
4398,F,Flight,5,2,143,4,low,F,10,5.4,0,Heavy
4399,D,Flight,3,3,203,3,medium,M,7,5,1,Heavy
4400,F,Flight,4,4,165,6,low,F,5,4.6,1,Heavy
4401,A,Flight,4,3,255,6,low,M,3,4.3,1,Heavy
4402,B,Ship,4,3,218,2,low,F,7,4.4,0,Heavy
4403,C,Ship,4,2,193,2,medium,F,1,5.9,0,Heavy
4404,F,Ship,5,3,187,3,low,F,3,4.3,0,Heavy
4405,D,Ship,3,4,246,3,low,M,1,4,1,Heavy
4406,F,Ship,3,2,237,3,medium,F,10,5.9,0,Heavy
4407,A,Ship,3,3,269,3,medium,M,5,4.2,1,Heavy
4408,B,Ship,3,5,107,5,low,F,4,5.6,0,Heavy
4409,C,Ship,3,3,147,3,low,M,4,5.8,0,Heavy
4410,F,Ship,3,4,111,5,medium,F,1,4.1,0,Heavy
4411,D,Ship,3,5,197,3,medium,F,2,4,1,Heavy
4412,F,Ship,3,4,257,4,low,M,9,4.5,0,Heavy
4413,A,Ship,5,4,269,2,medium,F,2,5.3,0,Heavy
4414,B,Ship,3,2,224,2,medium,F,3,4.4,0,Heavy
4415,C,Ship,3,3,262,2,medium,F,10,5,0,Heavy
4416,F,Ship,5,3,181,3,high,M,7,5.7,1,Heavy
4417,D,Ship,3,5,159,3,medium,M,9,4.6,0,Heavy
4418,F,Ship,3,2,207,2,low,M,9,4.7,0,Heavy
4419,A,Ship,3,1,238,3,medium,F,5,4.4,1,Heavy
4420,B,Ship,2,3,239,3,high,M,1,5.9,0,Heavy
4421,C,Ship,4,5,206,2,low,F,10,4.3,1,Heavy
4422,F,Ship,4,1,159,4,low,M,5,5.4,1,Heavy
4423,D,Ship,3,4,207,2,medium,M,10,4.7,0,Heavy
4424,F,Ship,4,3,262,2,low,M,10,5.5,1,Heavy
4425,A,Ship,3,3,251,2,low,M,3,5.2,0,Heavy
4426,B,Ship,5,5,188,3,low,F,7,4.5,1,Heavy
4427,C,Ship,5,3,254,2,low,F,4,5,0,Heavy
4428,F,Ship,4,1,234,3,high,M,10,4.4,0,Heavy
4429,D,Ship,3,5,246,3,medium,F,2,5.7,1,Heavy
4430,F,Ship,4,2,158,3,low,M,3,4.5,0,Heavy
4431,A,Ship,4,1,220,3,medium,M,4,4.3,0,Heavy
4432,B,Ship,4,2,257,3,medium,M,8,5,1,Heavy
4433,C,Ship,4,4,143,2,medium,F,3,5.6,1,Heavy
4434,F,Ship,4,5,163,3,high,M,4,5.9,0,Heavy
4435,D,Ship,3,3,171,4,low,M,8,4.5,0,Heavy
4436,F,Ship,3,3,261,4,medium,F,7,4.5,1,Heavy
4437,A,Ship,3,4,212,3,medium,M,10,4.7,0,Heavy
4438,B,Ship,3,4,176,2,low,F,10,4.9,0,Heavy
4439,C,Ship,4,1,257,4,low,M,5,5.9,1,Heavy
4440,F,Ship,4,4,133,2,low,F,10,4.8,1,Heavy
4441,D,Ship,3,2,153,3,medium,F,3,5.3,0,Heavy
4442,F,Ship,6,4,218,6,medium,M,1,4.6,1,Heavy
4443,A,Ship,4,5,164,2,low,F,9,5.5,0,Heavy
4444,B,Ship,3,2,256,2,medium,F,9,4.2,1,Heavy
4445,C,Ship,2,2,150,2,medium,F,9,4.9,1,Heavy
4446,F,Ship,2,4,107,4,high,F,4,4.5,1,Heavy
4447,D,Ship,6,3,219,4,medium,M,6,4.9,1,Heavy
4448,F,Ship,6,1,237,5,high,M,2,5.4,0,Heavy
4449,A,Ship,5,1,246,2,low,F,4,5.5,0,Heavy
4450,B,Ship,4,3,198,3,medium,F,1,5.8,1,Heavy
4451,C,Ship,4,4,176,6,high,M,5,4.5,1,Heavy
4452,F,Ship,5,2,168,2,high,F,3,4.9,0,Heavy
4453,D,Ship,5,2,173,4,medium,M,4,5.4,0,Heavy
4454,F,Ship,4,4,106,2,low,F,10,5.2,1,Heavy
4455,A,Ship,3,1,171,2,medium,F,7,4,1,Heavy
4456,B,Ship,5,1,224,2,medium,M,4,5.1,0,Heavy
4457,C,Ship,4,2,216,4,medium,M,3,4.9,1,Heavy
4458,F,Ship,3,3,174,3,medium,F,2,4.2,0,Heavy
4459,D,Ship,4,4,261,6,medium,F,10,4.6,1,Heavy
4460,F,Ship,4,3,229,3,low,F,3,5,0,Heavy
4461,A,Ship,4,5,214,3,high,M,6,5.6,0,Heavy
4462,B,Ship,4,5,199,5,medium,M,8,5.7,1,Heavy
4463,C,Ship,5,4,182,3,medium,F,7,5.7,1,Heavy
4464,F,Ship,4,1,152,3,low,M,4,5.3,0,Heavy
4465,D,Ship,4,5,258,2,medium,M,6,5.1,1,Heavy
4466,F,Ship,6,2,182,3,low,M,7,4.4,1,Heavy
4467,A,Ship,2,4,166,3,low,M,8,5,1,Heavy
4468,B,Ship,2,3,176,3,low,F,6,5,0,Heavy
4469,C,Ship,3,1,193,3,medium,M,3,5.2,0,Heavy
4470,F,Ship,4,4,135,2,low,F,10,4.5,1,Heavy
4471,D,Ship,6,5,213,4,medium,F,3,5.5,0,Heavy
4472,F,Ship,5,5,168,3,low,F,6,4.1,1,Heavy
4473,A,Ship,3,3,264,3,medium,F,6,4.2,1,Heavy
4474,B,Ship,3,1,173,2,low,M,10,4.1,1,Heavy
4475,C,Ship,6,3,142,2,low,F,9,5.4,1,Heavy
4476,F,Ship,2,2,278,2,medium,F,9,4.3,0,Heavy
4477,D,Ship,3,3,197,2,medium,M,10,5.3,0,Heavy
4478,F,Ship,5,4,226,2,low,M,6,4.5,0,Heavy
4479,A,Ship,3,2,197,5,medium,F,9,4.3,1,Heavy
4480,B,Ship,4,5,189,2,medium,M,6,5.4,1,Heavy
4481,C,Ship,2,1,210,2,medium,F,6,5.3,0,Heavy
4482,F,Ship,5,2,149,2,medium,F,8,5.4,0,Heavy
4483,D,Ship,5,4,171,5,medium,M,1,5.7,0,Heavy
4484,F,Ship,5,3,243,3,medium,F,10,4.5,1,Heavy
4485,A,Ship,4,5,171,4,low,F,4,5.3,0,Heavy
4486,B,Ship,5,3,215,4,low,M,5,5.9,1,Heavy
4487,C,Ship,3,4,174,3,medium,F,4,4.1,0,Heavy
4488,F,Ship,6,4,210,5,medium,M,2,4.7,0,Heavy
4489,D,Ship,4,4,135,2,low,F,4,5.1,0,Heavy
4490,F,Ship,3,2,134,3,low,M,6,4.8,1,Heavy
4491,A,Ship,2,5,166,4,medium,F,3,4.6,0,Heavy
4492,B,Ship,5,1,174,3,low,M,10,4,0,Heavy
4493,C,Ship,4,4,252,4,medium,F,4,4.8,0,Heavy
4494,F,Ship,5,2,219,4,low,F,7,4.8,1,Heavy
4495,D,Road,4,5,244,2,medium,F,7,5.3,1,Heavy
4496,F,Road,5,5,132,3,low,M,5,4.2,1,Heavy
4497,A,Road,4,2,223,4,low,M,2,5.7,0,Heavy
4498,B,Road,3,4,260,4,low,F,10,4.1,0,Heavy
4499,C,Road,3,4,269,2,medium,M,6,6,0,Heavy
4500,F,Road,3,5,170,3,low,F,5,5.1,0,Heavy
4501,D,Road,2,5,170,5,low,F,10,5.6,1,Heavy
4502,F,Road,4,2,173,2,medium,M,2,5.3,0,Heavy
4503,A,Road,4,5,148,8,medium,M,6,5.7,0,Heavy
4504,B,Road,3,5,174,6,medium,F,7,4.6,0,Heavy
4505,C,Road,6,2,263,6,low,F,4,4.6,1,Heavy
4506,F,Road,4,4,142,10,high,F,7,5.4,1,Heavy
4507,D,Road,3,3,183,3,low,M,2,4.4,0,Heavy
4508,F,Road,6,1,174,10,medium,F,1,5.8,1,Heavy
4509,A,Road,4,1,140,3,low,M,4,5.2,1,Heavy
4510,B,Road,6,5,154,2,high,M,7,4.4,1,Heavy
4511,C,Road,4,2,108,10,medium,M,5,4.6,0,Heavy
4512,F,Road,5,2,198,3,low,F,8,4.7,0,Heavy
4513,D,Road,4,2,266,3,high,M,5,4.8,1,Heavy
4514,F,Road,4,4,197,5,low,M,8,4.8,0,Heavy
4515,A,Road,3,1,219,8,low,F,1,4.1,1,Heavy
4516,B,Road,2,4,255,7,low,F,9,5.2,1,Heavy
4517,C,Flight,3,1,255,7,low,F,3,4.5,0,Heavy
4518,F,Flight,5,4,219,4,low,F,8,4.5,0,Heavy
4519,D,Flight,4,4,244,2,medium,F,7,5.5,1,Heavy
4520,F,Flight,5,5,132,3,low,M,3,4.3,0,Heavy
4521,A,Flight,4,4,223,4,low,M,3,5.6,0,Heavy
4522,B,Flight,3,3,260,4,low,M,8,5.6,1,Heavy
4523,C,Flight,3,1,269,2,medium,M,6,5.7,1,Heavy
4524,F,Flight,3,1,170,3,low,M,3,4.5,1,Heavy
4525,D,Flight,2,4,170,5,low,M,10,5.4,0,Heavy
4526,F,Flight,4,5,173,2,medium,F,5,4.8,1,Heavy
4527,A,Flight,4,1,148,8,medium,M,5,4.9,1,Heavy
4528,B,Flight,3,1,174,6,medium,F,4,4.9,1,Heavy
4529,C,Flight,6,1,263,6,low,M,10,5.8,0,Heavy
4530,F,Flight,4,5,142,10,high,F,5,4.1,1,Heavy
4531,D,Flight,3,3,183,3,low,M,4,5.3,0,Heavy
4532,F,Flight,6,1,174,10,medium,M,7,4.3,0,Heavy
4533,A,Flight,4,5,140,3,low,F,7,5.4,0,Heavy
4534,B,Flight,6,3,154,2,high,M,7,4.7,0,Heavy
4535,C,Flight,4,5,108,10,medium,F,7,5.9,1,Heavy
4536,F,Flight,5,3,198,3,low,F,6,5.1,1,Heavy
4537,D,Flight,4,2,266,3,high,M,1,5.5,1,Heavy
4538,F,Flight,4,3,197,5,low,F,8,4.2,1,Heavy
4539,A,Ship,3,1,219,8,low,M,2,5.3,0,Heavy
4540,B,Ship,2,4,255,7,low,M,10,5.9,0,Heavy
4541,C,Ship,3,2,255,7,low,F,3,5.9,0,Heavy
4542,F,Ship,6,2,247,4,low,F,3,1.8,0,Light
4543,D,Ship,5,1,275,4,medium,F,6,1.6,0,Light
4544,F,Ship,6,5,291,4,low,M,3,1.1,1,Light
4545,A,Ship,6,4,265,4,low,F,9,1.5,0,Light
4546,B,Ship,7,1,250,5,medium,M,8,1.8,0,Light
4547,C,Ship,7,1,291,4,low,F,9,1.9,1,Light
4548,F,Ship,6,4,255,4,low,F,3,1.6,1,Light
4549,D,Ship,6,5,290,4,medium,F,3,1.5,1,Light
4550,F,Ship,5,5,276,4,low,F,7,1.7,0,Light
4551,A,Ship,4,3,149,3,medium,F,1,1.4,1,Light
4552,B,Ship,6,2,310,4,medium,F,5,1.8,1,Light
4553,C,Ship,7,5,273,4,low,F,7,1.4,0,Light
4554,F,Ship,6,3,244,4,low,F,5,1.7,1,Light
4555,D,Ship,6,4,275,4,low,F,4,1.2,1,Light
4556,F,Ship,7,2,308,4,low,F,7,1.2,0,Light
4557,A,Ship,6,5,264,4,low,M,6,1,0,Light
4558,B,Ship,6,2,256,5,medium,F,2,1.4,1,Light
4559,C,Ship,5,1,252,4,medium,M,4,1.8,0,Light
4560,F,Ship,6,2,244,4,low,F,4,1.2,1,Light
4561,D,Ship,6,1,280,4,medium,M,5,1.4,0,Light
4562,F,Ship,5,3,227,4,low,F,10,1.3,1,Light
4563,A,Ship,6,4,272,4,low,F,7,1.7,1,Light
4564,B,Ship,6,2,274,4,medium,M,8,1.6,1,Light
4565,C,Ship,6,3,310,4,low,F,2,1.8,0,Light
4566,F,Ship,6,2,282,5,medium,M,5,1.8,1,Light
4567,D,Ship,6,1,247,4,medium,F,10,1.8,0,Light
4568,F,Ship,4,2,262,4,low,M,2,5.3,0,Heavy
4569,A,Ship,3,3,213,3,medium,M,7,4.1,0,Heavy
4570,B,Ship,4,5,136,3,medium,M,7,4.8,1,Heavy
4571,C,Ship,3,5,134,2,low,F,4,5.3,0,Heavy
4572,F,Ship,2,2,171,2,medium,F,6,5.1,0,Heavy
4573,D,Ship,3,2,182,2,low,M,10,4.4,1,Heavy
4574,F,Ship,4,4,185,3,medium,M,9,4.5,0,Heavy
4575,A,Ship,4,2,271,3,medium,F,4,5.9,0,Heavy
4576,B,Ship,4,1,166,5,low,F,1,5.5,1,Heavy
4577,C,Ship,4,2,196,2,low,M,4,5.9,0,Heavy
4578,F,Ship,4,4,157,4,low,M,6,4.2,0,Heavy
4579,D,Ship,4,4,218,2,low,M,4,4.1,1,Heavy
4580,F,Ship,4,3,142,3,medium,F,6,5.9,0,Heavy
4581,A,Ship,3,1,237,2,low,M,9,4.6,1,Heavy
4582,B,Ship,6,3,213,4,low,F,2,5.3,0,Heavy
4583,C,Ship,5,1,241,2,medium,F,3,5.4,1,Heavy
4584,F,Ship,2,2,170,3,high,F,7,4.3,1,Heavy
4585,D,Ship,3,1,156,3,medium,M,9,4.3,0,Heavy
4586,F,Ship,3,4,228,3,medium,F,8,5.4,0,Heavy
4587,A,Ship,3,1,145,3,high,F,10,4.4,0,Heavy
4588,B,Ship,4,1,145,3,low,M,3,5.6,1,Heavy
4589,C,Ship,3,4,166,3,medium,F,8,4.4,1,Heavy
4590,F,Ship,5,5,106,5,medium,F,4,4.4,1,Heavy
4591,D,Ship,5,3,210,3,high,F,4,4.8,0,Heavy
4592,F,Ship,2,1,235,3,medium,F,6,4.4,1,Heavy
4593,A,Ship,4,2,142,2,medium,F,5,4.1,0,Heavy
4594,B,Ship,3,4,271,3,low,F,9,4.9,1,Heavy
4595,C,Ship,4,5,245,3,medium,F,2,5.4,1,Heavy
4596,F,Ship,4,2,192,4,medium,F,2,5.5,0,Heavy
4597,D,Ship,5,4,270,3,medium,M,9,5,1,Heavy
4598,F,Ship,4,4,197,3,low,F,7,5.1,0,Heavy
4599,A,Ship,2,1,255,3,medium,F,1,5.9,0,Heavy
4600,B,Ship,5,3,223,2,medium,F,9,5.7,0,Heavy
4601,C,Ship,3,5,256,3,low,M,7,4.4,1,Heavy
4602,F,Ship,4,2,229,2,low,M,9,5,0,Heavy
4603,D,Ship,3,3,233,3,low,F,5,5,1,Heavy
4604,F,Ship,3,4,164,6,medium,F,4,5.6,1,Heavy
4605,A,Ship,3,1,171,2,medium,F,6,5.7,1,Heavy
4606,B,Ship,5,2,178,5,low,F,5,5.2,0,Heavy
4607,C,Ship,3,1,233,2,high,M,1,5.1,1,Heavy
4608,F,Ship,3,1,232,2,medium,F,2,5.1,1,Heavy
4609,D,Ship,4,2,236,3,low,F,1,4.1,0,Heavy
4610,F,Ship,3,2,197,3,medium,F,3,4.5,0,Heavy
4611,A,Ship,3,3,152,3,low,M,6,5.7,1,Heavy
4612,B,Ship,3,4,219,2,medium,M,7,4.9,1,Heavy
4613,C,Ship,4,2,205,2,low,F,10,5.6,0,Heavy
4614,F,Ship,3,2,142,2,low,M,7,4.1,0,Heavy
4615,D,Ship,6,4,112,4,medium,F,9,4,1,Heavy
4616,F,Ship,2,2,254,2,low,F,8,5.8,0,Heavy
4617,A,Ship,4,3,256,3,high,F,1,4.3,0,Heavy
4618,B,Ship,4,4,168,4,medium,F,4,4.7,0,Heavy
4619,C,Ship,3,4,171,3,low,F,5,5.9,0,Heavy
4620,F,Ship,6,5,215,4,medium,M,5,5.4,1,Heavy
4621,D,Ship,3,3,169,3,low,F,9,4.3,1,Heavy
4622,F,Ship,3,3,149,4,medium,F,3,5.9,1,Heavy
4623,A,Ship,4,1,223,3,low,F,9,4.8,0,Heavy
4624,B,Ship,5,3,224,2,low,M,6,6,1,Heavy
4625,C,Ship,2,5,186,2,medium,M,10,4.5,0,Heavy
4626,F,Ship,4,4,184,3,medium,F,2,5.4,0,Heavy
4627,D,Ship,3,1,152,3,low,F,3,5.8,1,Heavy
4628,F,Ship,5,3,249,2,low,F,9,4.6,0,Heavy
4629,A,Ship,3,3,173,5,medium,F,10,5.8,0,Heavy
4630,B,Ship,5,5,167,2,medium,M,2,5.9,0,Heavy
4631,C,Ship,5,2,230,2,medium,M,9,4.5,0,Heavy
4632,F,Road,5,3,237,3,low,F,8,5.1,0,Heavy
4633,D,Road,3,4,202,5,high,M,5,4.6,0,Heavy
4634,F,Road,4,3,134,4,low,M,3,5.2,0,Heavy
4635,A,Road,5,3,263,3,medium,F,2,4.7,0,Heavy
4636,B,Road,5,2,272,2,low,F,1,5.4,0,Heavy
4637,C,Road,4,2,231,6,low,M,8,5.2,0,Heavy
4638,F,Road,3,4,190,4,medium,F,7,6,1,Heavy
4639,D,Road,5,4,223,2,low,M,5,4.4,1,Heavy
4640,F,Road,5,1,257,3,medium,F,5,4.4,0,Heavy
4641,A,Road,4,4,184,3,medium,M,2,4.6,0,Heavy
4642,B,Road,3,5,193,3,medium,M,1,5.8,1,Heavy
4643,C,Road,4,3,204,2,low,F,7,4.7,1,Heavy
4644,F,Road,3,2,236,3,medium,M,8,5.8,0,Heavy
4645,D,Road,5,3,222,2,medium,M,3,4.5,1,Heavy
4646,F,Road,4,1,140,5,medium,M,6,4,1,Heavy
4647,A,Road,3,1,204,3,high,F,9,5.1,0,Heavy
4648,B,Road,3,2,271,2,medium,M,6,5.3,1,Heavy
4649,C,Road,3,1,108,6,medium,F,7,4,0,Heavy
4650,F,Road,4,1,206,3,low,F,4,4.7,0,Heavy
4651,D,Road,3,2,180,2,high,F,8,4.4,0,Heavy
4652,F,Road,3,2,193,3,low,F,7,5.2,0,Heavy
4653,A,Road,5,1,238,4,medium,M,10,4.7,0,Heavy
4654,B,Flight,5,3,234,3,low,F,6,4.6,0,Heavy
4655,C,Flight,2,5,271,2,low,F,5,5.2,1,Heavy
4656,F,Flight,5,2,102,5,medium,F,3,4.8,0,Heavy
4657,D,Flight,3,1,185,3,medium,M,7,5.5,1,Heavy
4658,F,Flight,4,1,273,2,high,F,10,5.8,1,Heavy
4659,A,Flight,6,3,233,6,low,F,9,4.8,0,Heavy
4660,B,Flight,5,3,191,2,medium,M,7,5.8,1,Heavy
4661,C,Flight,4,4,239,2,medium,M,4,4.3,1,Heavy
4662,F,Flight,3,3,270,3,low,M,7,4.2,0,Heavy
4663,D,Flight,5,2,279,4,low,F,8,4.4,1,Heavy
4664,F,Flight,5,1,233,4,high,M,2,4.6,1,Heavy
4665,A,Flight,3,3,178,4,high,M,3,4.2,1,Heavy
4666,B,Flight,3,4,184,4,medium,M,2,4.1,0,Heavy
4667,C,Flight,3,5,202,3,low,M,2,5.2,0,Heavy
4668,F,Flight,3,3,149,2,medium,M,3,4.5,0,Heavy
4669,D,Flight,5,2,133,2,high,F,2,4.6,0,Heavy
4670,F,Flight,4,4,224,5,low,F,9,4.9,1,Heavy
4671,A,Flight,4,2,252,2,medium,F,6,5.4,0,Heavy
4672,B,Flight,4,3,208,2,medium,M,6,4.3,1,Heavy
4673,C,Flight,5,3,256,2,low,M,3,4.5,0,Heavy
4674,F,Flight,3,5,206,4,medium,M,10,4.3,1,Heavy
4675,D,Flight,2,1,177,4,low,F,5,4.4,0,Heavy
4676,F,Ship,4,4,269,4,medium,F,3,5,1,Heavy
4677,A,Ship,3,5,216,3,high,F,2,4.2,0,Heavy
4678,B,Ship,3,2,221,3,high,F,7,5.5,0,Heavy
4679,C,Ship,5,4,210,3,medium,F,6,5.1,0,Heavy
4680,F,Ship,4,5,205,3,medium,F,9,4.4,0,Heavy
4681,D,Ship,3,3,237,3,low,F,7,4.1,0,Heavy
4682,F,Ship,5,4,139,2,medium,F,2,4.2,1,Heavy
4683,A,Ship,4,4,163,3,low,M,3,4.2,1,Heavy
4684,B,Ship,4,4,171,2,low,M,4,5,0,Heavy
4685,C,Ship,4,3,261,3,low,F,9,6,1,Heavy
4686,F,Ship,4,3,195,2,low,M,8,4.6,0,Heavy
4687,D,Ship,4,2,190,6,high,M,5,4.1,1,Heavy
4688,F,Ship,5,5,236,3,high,M,4,5.7,1,Heavy
4689,A,Ship,3,4,254,3,medium,M,6,5.7,0,Heavy
4690,B,Ship,3,3,157,3,medium,M,10,4.9,0,Heavy
4691,C,Ship,3,1,245,3,medium,F,1,5.3,0,Heavy
4692,F,Ship,4,1,144,4,medium,M,8,4.3,0,Heavy
4693,D,Ship,5,3,217,4,low,M,3,5.7,1,Heavy
4694,F,Ship,3,3,249,2,low,F,2,5.1,0,Heavy
4695,A,Ship,3,2,176,2,low,F,2,5.1,0,Heavy
4696,B,Ship,3,1,230,2,low,F,1,5,1,Heavy
4697,C,Ship,3,5,204,2,medium,F,5,4.5,1,Heavy
4698,F,Ship,4,4,266,2,low,F,5,5.6,0,Heavy
4699,D,Ship,4,3,213,3,low,F,2,5.7,0,Heavy
4700,F,Ship,3,4,147,3,low,F,8,5.5,0,Heavy
4701,A,Ship,3,1,201,3,low,F,3,4.6,1,Heavy
4702,B,Ship,2,4,248,3,low,F,5,5.4,0,Heavy
4703,C,Ship,4,3,167,3,medium,M,5,5.8,0,Heavy
4704,F,Ship,3,4,232,2,low,M,10,5.7,0,Heavy
4705,D,Ship,5,3,163,3,medium,M,9,4.4,1,Heavy
4706,F,Ship,4,4,201,5,medium,M,3,5.9,1,Heavy
4707,A,Ship,4,5,252,2,low,F,9,4.2,0,Heavy
4708,B,Ship,3,1,146,4,low,F,10,4.6,0,Heavy
4709,C,Ship,5,1,160,3,medium,M,3,5.8,0,Heavy
4710,F,Ship,5,2,167,4,low,M,10,4.3,0,Heavy
4711,D,Ship,4,2,224,2,medium,F,8,4.8,1,Heavy
4712,F,Ship,4,2,239,3,medium,F,5,6,0,Heavy
4713,A,Ship,4,1,151,6,low,M,7,4.4,0,Heavy
4714,B,Ship,4,5,264,3,low,F,10,6,0,Heavy
4715,C,Ship,4,2,242,3,medium,M,8,4.6,1,Heavy
4716,F,Ship,3,3,204,4,high,M,9,4.7,0,Heavy
4717,D,Ship,3,5,260,2,medium,M,1,6,0,Heavy
4718,F,Ship,3,2,279,3,medium,F,6,4.6,0,Heavy
4719,A,Ship,3,4,225,4,low,F,8,5.2,0,Heavy
4720,B,Ship,3,5,190,3,low,M,9,4.5,0,Heavy
4721,C,Ship,4,2,152,2,low,M,7,5,0,Heavy
4722,F,Ship,3,2,201,6,medium,M,7,4.7,1,Heavy
4723,D,Ship,3,2,191,2,medium,M,7,5.4,0,Heavy
4724,F,Ship,4,3,140,3,low,M,1,4.5,0,Heavy
4725,A,Ship,5,3,199,4,medium,F,8,5.4,0,Heavy
4726,B,Ship,4,1,194,3,medium,F,6,5.3,0,Heavy
4727,C,Ship,4,2,273,2,low,F,5,5.6,1,Heavy
4728,F,Ship,4,5,259,2,medium,F,4,4.1,1,Heavy
4729,D,Ship,4,3,180,3,medium,M,5,4,1,Heavy
4730,F,Ship,5,3,251,2,low,M,9,4.5,0,Heavy
4731,A,Ship,5,1,269,3,low,F,5,5,0,Heavy
4732,B,Ship,6,3,274,6,medium,F,2,4.3,0,Heavy
4733,C,Ship,5,5,250,2,medium,M,10,5.5,1,Heavy
4734,F,Ship,3,5,265,3,medium,F,8,6,0,Heavy
4735,D,Ship,4,3,169,10,medium,F,6,5.1,1,Heavy
4736,F,Ship,3,4,211,3,high,M,8,5.2,1,Heavy
4737,A,Ship,4,4,245,2,low,M,6,5.8,0,Heavy
4738,B,Ship,4,1,188,2,low,M,6,5.9,1,Heavy
4739,C,Ship,3,5,244,2,medium,F,10,4.1,1,Heavy
4740,F,Ship,3,5,233,3,medium,F,7,5.8,0,Heavy
4741,D,Ship,3,1,144,3,medium,F,6,4.2,0,Heavy
4742,F,Ship,3,5,221,2,low,F,6,5.3,0,Heavy
4743,A,Ship,3,5,267,2,high,M,2,5.1,1,Heavy
4744,B,Ship,3,1,211,3,high,F,7,5.2,0,Heavy
4745,C,Ship,4,1,205,3,low,F,10,4.9,0,Heavy
4746,F,Ship,3,2,144,3,high,M,1,5.3,0,Heavy
4747,D,Ship,3,3,195,7,medium,F,4,4.6,0,Heavy
